INSTNM,CITY,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,NPT4_PUB,NPT4_PRIV,NPT4_PROG,NPT4_OTHER,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,NPT41_PROG,NPT42_PROG,NPT43_PROG,NPT44_PROG,NPT45_PROG,NPT41_OTHER,NPT42_OTHER,NPT43_OTHER,NPT44_OTHER,NPT45_OTHER,NPT4_048_PUB,NPT4_048_PRIV,NPT4_048_PROG,NPT4_048_OTHER,NPT4_3075_PUB,NPT4_3075_PRIV,NPT4_75UP_PUB,NPT4_75UP_PRIV,NPT4_3075_PROG,NPT4_3075_OTHER,NPT4_75UP_PROG,NPT4_75UP_OTHER,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,FEMALE,FIRST_GEN,FAMINC,MD_FAMINC
Alabama A & M University,Normal,0.684,430.0,523.0,400.0,510.0,370.0,457.0,475.0,460.0,414.0,15.0,19.0,13.0,20.0,15.0,18.0,,,18.0,17.0,17.0,,920.0,920.0,0.0333,0.0157,0.0059,0.0,0.0,0.0333,0.0802,0.0,0.0391,0.1076,0.0157,0.0,0.0235,0.0,0.0117,0.0176,0.0,0.1644,0.002,0.0,0.0,0.0333,0.0,0.0,0.0117,0.0,0.0744,0.09,0.0431,0.0313,0.0,0.0,0.0,0.0,0.0137,0.0,0.1526,0.0,0.0198,0.8955,0.011,0.0019,0.0025,0.0015,0.0127,0.0115,0.0435,,,,14982.0,,,,14205.0,14526.0,16532.0,20139.0,17539.0,,,,,,,,,,,,,,,,14306.0,,,,15098.0,,18885.0,,,,,,23167.0,,10024.0,18634.0,,0.5640301318,0.3658280922,32362.826114,23553
University of Alabama at Birmingham,Birmingham,0.8668,610.0,690.0,590.0,720.0,,,637.0,644.0,,23.0,30.0,22.0,33.0,20.0,28.0,,,27.0,28.0,25.0,,1291.0,1291.0,0.0,0.0,0.0,0.0007,0.0269,0.0,0.0241,0.0,0.067,0.06,0.0,0.0073,0.0,0.0,0.0157,0.0328,0.0,0.125,0.0063,0.0,0.0,0.0,0.0052,0.0,0.0227,0.0003,0.0792,0.0353,0.0175,0.0265,0.0,0.0,0.0,0.0,0.0248,0.2213,0.1934,0.008,0.513,0.2528,0.0711,0.0819,0.0016,0.0005,0.0491,0.0237,0.0064,,,,16755.0,,,,14620.0,15130.0,17379.0,20045.0,19342.0,,,,,,,,,,,,,,,,14795.0,,,,16242.0,,19598.0,,,,,,26257.0,,8832.0,21216.0,,0.6390907397,0.341223671,51306.674306,34489
Amridge University,Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2065,0.0,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2283,0.0,0.0,0.0,0.0978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4565,0.0,0.2851,0.6623,0.0307,0.0,0.0044,0.0044,0.0,0.0,0.0132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6486486486,0.5125,21079.472973,15033.5
University of Alabama in Huntsville,Huntsville,0.781,613.0,700.0,613.0,730.0,,,640.0,655.0,,25.0,30.0,24.0,34.0,23.0,30.0,,,28.0,28.0,26.0,,1259.0,1259.0,0.0,0.0,0.0,0.0,0.0061,0.0,0.0906,0.0,0.0085,0.2924,0.0,0.0122,0.0,0.0,0.017,0.0,0.0,0.0553,0.0152,0.0,0.0201,0.0219,0.0018,0.0,0.0413,0.0,0.0249,0.0,0.0,0.0249,0.0,0.0,0.0,0.0,0.0535,0.1119,0.1945,0.0079,0.7102,0.0873,0.0666,0.0389,0.0087,0.0016,0.0465,0.0149,0.0252,,,,18240.0,,,,13902.0,15703.0,18802.0,20880.0,20467.0,,,,,,,,,,,,,,,,14627.0,,,,17524.0,,20618.0,,,,,,25777.0,,11878.0,24770.0,,0.4763499372,0.3101321586,61096.588949,44787
Alabama State University,Montgomery,0.966,429.0,531.0,399.0,510.0,,,488.0,457.0,,16.0,20.0,14.0,20.0,14.0,18.0,,,18.0,17.0,17.0,,963.0,963.0,0.0,0.0,0.0,0.0,0.0604,0.0,0.075,0.0,0.0625,0.0104,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.1271,0.0063,0.0,0.0958,0.0146,0.0,0.0,0.0063,0.0,0.0521,0.1229,0.0438,0.0271,0.0,0.0,0.0,0.0,0.0604,0.05,0.15,0.0104,0.0155,0.9251,0.0121,0.0015,0.0021,0.0009,0.0118,0.0221,0.0088,,,,13527.0,,,,13066.0,13738.0,13505.0,14414.0,15590.0,,,,,,,,,,,,,,,,13258.0,,,,13665.0,,15086.0,,,,,,21900.0,,11068.0,19396.0,,0.6134185304,0.3434343434,31684.382188,22080.5
The University of Alabama,Tuscaloosa,0.8006,570.0,690.0,560.0,720.0,480.0,600.0,610.0,610.0,540.0,23.0,31.0,23.0,34.0,22.0,29.0,7.0,8.0,26.0,27.0,24.0,8.0,1304.0,1304.0,0.0,0.0036,0.0,0.0016,0.0944,0.0,0.0139,0.0,0.0243,0.1235,0.0,0.0042,0.0798,0.0,0.0105,0.0,0.0,0.0341,0.0095,0.0,0.0141,0.0268,0.0028,0.0,0.0095,0.0,0.0403,0.0,0.0111,0.0786,0.0,0.0,0.0,0.0,0.021,0.1008,0.2868,0.0087,0.7336,0.1072,0.0577,0.0146,0.0036,0.0011,0.0344,0.0092,0.0386,,,,20888.0,,,,17942.0,19931.0,21867.0,23680.0,23931.0,,,,,,,,,,,,,,,,18570.0,,,,20826.0,,23848.0,,,,,,31024.0,,11940.0,32300.0,,0.6152524168,0.2257126887,91846.749624,66733.5
Central Alabama Community College,Alexander City,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0429,0.0446,0.0,0.0,0.0179,0.0,0.0054,0.0,0.0,0.3696,0.0,0.0,0.0,0.0,0.0321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0607,0.2143,0.0,0.0,0.1893,0.0232,0.0,0.6802,0.2285,0.0322,0.0042,0.0021,0.0,0.0447,0.0052,0.0031,,,,8227.0,,,,7232.0,6749.0,9895.0,11020.0,11738.0,,,,,,,,,,,,,,,,7069.0,,,,8266.0,,11259.0,,,,,,14041.0,,4990.0,8740.0,,0.6037383178,0.5496760259,30767.764486,22217
Athens State University,Athens,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0289,0.0,0.3579,0.0,0.0,0.0,0.0,0.0,0.0211,0.0684,0.0,0.0132,0.0158,0.0,0.0158,0.0039,0.0039,0.0,0.0,0.0,0.0158,0.0158,0.0,0.0197,0.0,0.0,0.0,0.0,0.025,0.0211,0.3632,0.0105,0.7574,0.1258,0.0503,0.0049,0.0146,0.0008,0.0325,0.0041,0.0097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.705078125,0.4774964838,38479.38737,29645.5
Auburn University at Montgomery,Montgomery,0.9223,510.0,615.0,500.0,575.0,,,538.0,518.0,,18.0,25.0,17.0,24.0,16.0,23.0,,,21.0,20.0,19.0,,1051.0,1051.0,0.0,0.0162,0.0,0.0,0.0192,0.0,0.0708,0.0,0.0546,0.0,0.0,0.0044,0.0,0.0,0.0192,0.0,0.0,0.0619,0.0044,0.0,0.0664,0.0649,0.0,0.0,0.0147,0.0,0.0693,0.0605,0.0,0.0324,0.0,0.0,0.0,0.0,0.0339,0.233,0.1652,0.0088,0.4052,0.4584,0.0175,0.0287,0.0024,0.0009,0.0366,0.0454,0.0048,,,,12630.0,,,,10873.0,12501.0,15041.0,15724.0,14069.0,,,,,,,,,,,,,,,,11309.0,,,,13662.0,,14810.0,,,,,,19771.0,,9100.0,19348.0,,0.6929480901,0.38189609,41987.986288,29671.5
Auburn University,Auburn,0.4374,610.0,680.0,610.0,700.0,520.0,620.0,,,570.0,24.0,30.0,24.0,33.0,22.0,28.0,7.0,8.0,,,,8.0,1292.0,1292.0,0.0378,0.0187,0.018,0.0,0.0523,0.0,0.038,0.0,0.0449,0.1786,0.0,0.0046,0.0371,0.0057,0.0069,0.0002,0.0,0.1051,0.0058,0.0,0.0118,0.0,0.0011,0.0,0.0099,0.0,0.0276,0.0,0.0079,0.0316,0.0,0.0,0.0,0.0212,0.0327,0.0616,0.2364,0.0046,0.8269,0.0425,0.0395,0.0279,0.0025,0.0006,0.029,0.028,0.003,,,,24297.0,,,,17481.0,19356.0,23336.0,26709.0,28876.0,,,,,,,,,,,,,,,,18143.0,,,,21582.0,,28269.0,,,,,,33650.0,,12176.0,32960.0,,0.531504671,0.1726471191,92148.626516,72031
Birmingham-Southern College,Birmingham,0.5717,590.0,670.0,560.0,610.0,,,580.0,585.0,,22.0,29.0,22.0,30.0,20.0,26.0,,,25.0,26.0,23.0,,1218.0,1218.0,0.0,0.0076,0.0114,0.0,0.0418,0.0,0.0418,0.0,0.0304,0.0038,0.0,0.0114,0.0,0.0,0.0304,0.0,0.0,0.0951,0.0266,0.0,0.0342,0.0,0.0114,0.0,0.0114,0.0,0.0951,0.0,0.0,0.0875,0.0,0.0,0.0,0.0,0.0798,0.0875,0.251,0.0418,0.7397,0.1519,0.0558,0.0227,0.001,0.0,0.0134,0.0145,0.001,,,,,19723.0,,,,,,,,17530.0,17196.0,18649.0,20596.0,21035.0,,,,,,,,,,,,17408.0,,,,18126.0,,20896.0,,,,,35495.0,,21250.0,21250.0,,0.520361991,0.1724941725,86672.871041,68094.5
Chattahoochee Valley Community College,Phenix City,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0139,0.0,0.0,0.0,0.0635,0.0,0.0046,0.0,0.0,0.4721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0697,0.0,0.0,0.0,0.0,0.0,0.0,0.0139,0.2895,0.0728,0.0,0.3524,0.4886,0.0173,0.0054,0.0027,0.0045,0.1017,0.0,0.0272,,,,3542.0,,,,1980.0,3857.0,5612.0,7759.0,8615.0,,,,,,,,,,,,,,,,2479.0,,,,4426.0,,7960.0,,,,,,9320.0,,4980.0,8730.0,,0.611965812,0.4302670623,26584.324786,20813
South University-Montgomery,Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8667,0.0267,0.0,0.2,0.7429,0.0159,0.0063,0.0,0.0032,0.0063,0.0127,0.0127,,,,,27195.0,,,,,,,,26145.0,28659.0,28028.0,30780.0,,,,,,,,,,,,,26704.0,,,,28449.0,,30780.0,,,,,32195.0,,17014.0,17014.0,,0.7628668652,0.4722883373,29130.921239,20000
Enterprise State Community College,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0336,0.0,0.0,0.0,0.0,0.0,0.0268,0.0425,0.0,0.2416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.481,0.0,0.0,0.0,0.1365,0.038,0.0,0.624,0.2009,0.0603,0.0125,0.0088,0.0007,0.0567,0.0088,0.0272,,,,3337.0,,,,1838.0,2694.0,4561.0,7744.0,7738.0,,,,,,,,,,,,,,,,2044.0,,,,3663.0,,7741.0,,,,,,9452.0,,4920.0,8670.0,,0.5165876777,0.4218916047,30336.675829,20456
Coastal Alabama Community College,Bay Minette,,,,,,,,,,,,,,,,,,,,,,,,,0.0079,0.0,0.0,0.0,0.0,0.004,0.0046,0.0158,0.0,0.0,0.099,0.0,0.0046,0.0053,0.0,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0706,0.1294,0.0,0.0066,0.305,0.0422,0.0,0.633,0.2362,0.0455,0.0079,0.0154,0.0015,0.0505,0.004,0.006,,,,7306.0,,,,5700.0,6405.0,8905.0,12032.0,11706.0,,,,,,,,,,,,,,,,5888.0,,,,7450.0,,11893.0,,,,,,14446.0,,4920.0,8670.0,,0.6531791908,0.4351196495,36117.937329,24150
Faulkner University,Montgomery,0.8241,470.0,570.0,480.0,560.0,430.0,510.0,550.0,548.0,470.0,17.0,24.0,17.0,25.0,16.0,23.0,,,20.0,20.0,19.0,,1021.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0284,0.0,0.0175,0.0,0.0,0.0,0.0,0.0175,0.0109,0.0175,0.0,0.0087,0.0022,0.0,0.0459,0.0459,0.0,0.024,0.0,0.0,0.059,0.1812,0.0,0.0087,0.0,0.0,0.0,0.0,0.0087,0.0153,0.5044,0.0044,0.4461,0.4058,0.046,0.0113,0.0032,0.0025,0.0271,0.0365,0.0214,,,,,19478.0,,,,,,,,20384.0,16356.0,19408.0,20007.0,20872.0,,,,,,,,,,,,19076.0,,,,17995.0,,20479.0,,,,,36169.0,,23920.0,23920.0,,0.6387315968,0.4300319489,36952.206116,24037.5
Gadsden State Community College,Gadsden,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.0788,0.0,0.0,0.1242,0.0,0.0191,0.0217,0.0,0.1406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177,0.2714,0.0841,0.0,0.0,0.1761,0.0572,0.0,0.659,0.1953,0.0731,0.0081,0.0029,0.0012,0.0444,0.0131,0.0029,,,,3920.0,,,,3694.0,3328.0,4978.0,6805.0,,,,,,,,,,,,,,,,,3624.0,,,,4179.0,,6805.0,,,,,,10613.0,,3984.0,6984.0,,0.6180606958,0.5149544863,19449.725019,16623
New Beginning College of Cosmetology,Albertville,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7556,0.0,0.2222,0.0,0.0,0.0,0.0,0.0,0.0222,,,,,13408.0,,,,,,,,12790.0,14055.0,,16746.0,16496.0,,,,,,,,,,,,13001.0,,,,14055.0,,16663.0,,,,,,17496.0,,,15150.0,PS,0.5,22762.19469,17173
George C Wallace Community College-Dothan,Dothan,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0236,0.0648,0.0,0.0,0.0609,0.0,0.0697,0.0,0.0,0.2426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147,0.0,0.0,0.0108,0.0413,0.0462,0.0,0.0,0.3703,0.055,0.0,0.5435,0.3258,0.0639,0.0098,0.0026,0.0016,0.0433,0.0016,0.0078,,,,1493.0,,,,1328.0,1474.0,1628.0,6716.0,,,,,,,,,,,,,,,,,1367.0,,,,1529.0,,6716.0,,,,,,8592.0,,4860.0,8610.0,,0.667740451,0.4851537646,19125.651634,15816
George C Wallace State Community College-Hanceville,Hanceville,,,,,,,,,,,,,,,,,,,,,,,,,0.0028,0.0,0.0,0.0,0.0,0.0,0.0184,0.0252,0.0,0.0,0.0584,0.0,0.0396,0.0032,0.0,0.1032,0.0,0.0,0.0,0.0,0.1603,0.0,0.0004,0.0,0.0,0.0,0.0,0.0164,0.0,0.0,0.0,0.1471,0.0704,0.008,0.0092,0.2899,0.0476,0.0,0.7754,0.0839,0.0858,0.0062,0.0057,0.0,0.0335,0.0076,0.0019,,,,10971.0,,,,10901.0,12948.0,10111.0,,15488.0,,,,,,,,,,,,,,,,10968.0,,,,12108.0,,15488.0,,,,,,15488.0,,4920.0,8670.0,,0.6312210201,0.498813157,36705.769088,27572
George C Wallace State Community College-Selma,Selma,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0243,0.0152,0.0,0.0,0.0517,0.0,0.0,0.0,0.0,0.4559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1246,0.0122,0.1003,0.0,0.0,0.1733,0.0426,0.0,0.1671,0.7874,0.0093,0.0082,0.0,0.0,0.0,0.0047,0.0234,,,,1582.0,,,,1151.0,2449.0,4721.0,7550.0,,,,,,,,,,,,,,,,,1436.0,,,,2767.0,,7550.0,,,,,,9195.0,,4620.0,8370.0,,0.5991341991,0.5125881168,15431.714286,14330
Herzing University-Birmingham,Birmingham,0.9412,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9136,0.07,0.0,0.2807,0.6456,0.0211,0.007,0.0035,0.0018,0.0211,0.0,0.0193,,,,,21275.0,,,,,,,,19256.0,23480.0,,26372.0,28152.0,,,,,,,,,,,,20463.0,,,,23480.0,,26965.0,,,,,28152.0,,12750.0,12750.0,,0.8135465189,0.5209032652,26184.228503,18321
Huntingdon College,Montgomery,0.6595,500.0,600.0,500.0,580.0,,,535.0,490.0,,18.0,24.0,18.0,24.0,16.0,23.0,,,22.0,23.0,21.0,,1086.0,1086.0,0.0,0.0,0.0,0.0,0.0196,0.0,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0,0.0098,0.0,0.0,0.1029,0.0098,0.0,0.0,0.1765,0.0196,0.0,0.0098,0.0,0.0735,0.0735,0.0,0.0294,0.0,0.0,0.0,0.0,0.0196,0.0245,0.3971,0.0196,0.6691,0.1914,0.0568,0.0037,0.0049,0.0012,0.0531,0.0,0.0198,,,,,23610.0,,,,,,,,21553.0,20958.0,23793.0,25059.0,25908.0,,,,,,,,,,,,21364.0,,,,22473.0,,25647.0,,,,,39717.0,,28350.0,28350.0,,0.4704142012,0.3456,53792.633136,37577
Heritage Christian University,Florence,1.0,,,,,300.0,560.0,,,430.0,,,,,,,11.0,12.0,,,,12.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8472,0.0833,0.0556,0.0,0.0,0.0,0.0139,0.0,0.0,,,,,5020.0,,,,,,,,3136.0,,5962.0,,,,,,,,,,,,,,3136.0,,,,5962.0,,,,,,,17810.0,,11632.0,11632.0,,PS,PS,33173.64,36524
J. F. Drake State Community and Technical College,Huntsville,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0299,0.1497,0.0,0.0,0.2575,0.0,0.0,0.0,0.0,0.0419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.509,0.006,0.0,0.245,0.6476,0.0415,0.0014,0.0029,0.0014,0.053,0.0057,0.0014,,,,5138.0,,,,5016.0,4188.0,8576.0,,,,,,,,,,,,,,,,,,4859.0,,,,5505.0,,,,,,,,12078.0,,4890.0,8640.0,,0.5610859729,0.5899653979,16557.179487,13959
J F Ingram State Technical College,Deatsville,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2441,0.3154,0.1648,0.0,0.0,0.0,0.1537,0.0,0.4076,0.569,0.0117,0.0026,0.0,0.0039,0.0026,0.0026,0.0,,,,4471.0,,,,4471.0,,,,,,,,,,,,,,,,,,,,4471.0,,,,,,,,,,,,6084.0,,4860.0,4860.0,,0.2293577982,0.4918032787,321.3853211,0
Jacksonville State University,Jacksonville,0.7846,480.0,600.0,460.0,600.0,,,535.0,590.0,,16.0,23.0,15.0,24.0,16.0,22.0,,,20.0,19.0,18.0,,1055.0,1055.0,0.0,0.0,0.0,0.0,0.0325,0.0,0.0304,0.0,0.0926,0.0,0.036,0.0007,0.017,0.0,0.017,0.0749,0.0,0.0516,0.0049,0.0,0.0,0.0163,0.0,0.0,0.0057,0.0,0.0254,0.0686,0.0311,0.0155,0.0,0.0,0.0,0.0,0.0516,0.277,0.135,0.0163,0.6134,0.2591,0.0018,0.0052,0.005,0.0013,0.0,0.02,0.0943,,,,17979.0,,,,16020.0,17323.0,19932.0,21717.0,22020.0,,,,,,,,,,,,,,,,16374.0,,,,18474.0,,21865.0,,,,,,22153.0,,11952.0,21912.0,,0.5886792453,0.3637702504,48404.346827,35734
Jefferson State Community College,Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,0.0139,0.0,0.0,0.0,0.0,0.0,0.0563,0.0533,0.0,0.0,0.0902,0.0,0.0278,0.0,0.0,0.4625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1864,0.0999,0.0,0.578,0.2571,0.087,0.0187,0.0032,0.0004,0.0321,0.0177,0.0058,,,,7346.0,,,,5515.0,6316.0,8757.0,12082.0,13340.0,,,,,,,,,,,,,,,,5736.0,,,,7445.0,,12783.0,,,,,,14677.0,,5220.0,8910.0,,0.660555005,0.4502907782,36652.478692,25922
John C Calhoun State Community College,Tanner,,,,,,,,,,,,,,,,,,,,,,,,,0.0024,0.0,0.0,0.0,0.0,0.0,0.0936,0.0,0.0,0.0,0.1665,0.0,0.0058,0.0,0.0,0.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0187,0.0003,0.0,0.0101,0.1242,0.0695,0.0,0.6293,0.1645,0.0936,0.0223,0.0115,0.0011,0.0629,0.0081,0.0069,,,,6548.0,,,,4850.0,6256.0,7896.0,9874.0,10912.0,,,,,,,,,,,,,,,,5237.0,,,,6959.0,,10351.0,,,,,,11532.0,,5000.0,8750.0,,0.5809480192,0.455343703,37220.18136,25186
Lawson State Community College,Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0049,0.0394,0.0509,0.0,0.0,0.1691,0.0,0.0493,0.0,0.0,0.2594,0.0,0.0,0.0,0.0,0.0246,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.0,0.0,0.023,0.0854,0.0328,0.0,0.0115,0.1724,0.0722,0.0,0.1065,0.8046,0.0427,0.0023,0.0008,0.0004,0.0364,0.0047,0.0016,,,,3842.0,,,,3354.0,4123.0,6494.0,9796.0,7387.0,,,,,,,,,,,,,,,,3520.0,,,,4842.0,,9193.0,,,,,,14471.0,,4920.0,8670.0,,0.5682182986,0.4747231584,18229.648074,16187.5
University of West Alabama,Livingston,0.6886,430.0,470.0,450.0,510.0,420.0,530.0,450.0,480.0,475.0,17.0,21.0,16.0,20.0,16.0,20.0,,,19.0,19.0,18.0,,1015.0,1015.0,0.0,0.0,0.0,0.0,0.0594,0.0,0.0,0.0,0.1918,0.0,0.0411,0.0,0.0,0.0,0.016,0.0,0.0,0.032,0.0183,0.0,0.1667,0.0685,0.0,0.0,0.0068,0.0,0.0639,0.0205,0.0,0.0251,0.0,0.0068,0.0,0.0,0.0,0.1438,0.1301,0.0091,0.4439,0.37,0.0297,0.0017,0.0095,0.0,0.021,0.0305,0.0936,,,,14006.0,,,,12558.0,13369.0,16129.0,15553.0,15705.0,,,,,,,,,,,,,,,,12732.0,,,,14889.0,,15631.0,,,,,,22456.0,,10990.0,20090.0,,0.5577586207,0.403210576,39866.202586,25552.5
Lurleen B Wallace Community College,Andalusia,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.024,0.0,0.0,0.0,0.0,0.0074,0.0887,0.0,0.0,0.0037,0.0,0.0185,0.0,0.0,0.2976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1682,0.1238,0.0,0.0,0.2477,0.0203,0.0,0.6841,0.2439,0.0243,0.0072,0.0027,0.0,0.0369,0.0009,0.0,,,,2992.0,,,,2541.0,3549.0,3798.0,5904.0,,,,,,,,,,,,,,,,,2796.0,,,,3635.0,,5904.0,,,,,,10125.0,,4920.0,8670.0,,0.624417521,0.5203426124,20928.068966,18213
Marion Military Institute,Marion,0.627,,,,,,,605.0,595.0,,,,,,,,,,22.0,22.0,22.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6031,0.2125,0.0813,0.0219,0.0063,0.0063,0.0406,0.0031,0.025,,,,9589.0,,,,9058.0,8608.0,6681.0,11841.0,11826.0,,,,,,,,,,,,,,,,8894.0,,,,7965.0,,11832.0,,,,,,18368.0,,9538.0,15538.0,,0.2340425532,0.2338028169,59761.888298,38434
Miles College,Fairfield,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0054,0.0,0.0,0.0645,0.0,0.0484,0.0,0.0054,0.0,0.0,0.0,0.0484,0.0,0.0161,0.0,0.0,0.1022,0.0054,0.0,0.0,0.0,0.0,0.0,0.0108,0.0,0.0,0.1828,0.1022,0.0484,0.0,0.0,0.0,0.0,0.0645,0.0,0.2849,0.0108,0.0318,0.9507,0.0064,0.0,0.0,0.0,0.0103,0.0,0.0008,,,,,13259.0,,,,,,,,12521.0,12843.0,14950.0,17279.0,16837.0,,,,,,,,,,,,12600.0,,,,13560.0,,17103.0,,,,,22653.0,,12714.0,12714.0,,0.4668079096,0.4164588529,23637.283898,17702.5
